Title	 Author	 Date Published	 Description	 Link	 Category	 Hosted Site	 Type of Media	 Target Audience	Image	
From Paradise to the Promised Land. 3rd ed.	T. Desmond Alexander	2012								
An Introduction to the Old Testament Pentateuch. 2nd ed.	Herbert Wolf	2007								
The Pentateuch As Narrative	John H. Sailhamer	1992								
The Messianic Vision of the Pentateuch	Kevin S. Chen	2019								
Genesis. 2 vols.	Gordon J. Wenham	"1987, 1994"								
Genesis. 2 vols.	Kenneth A. Mathews	"1996, 2005"								
The Book of Genesis. 2 vols.	Victor P. Hamilton	"1990, 1995"								
Genesis. TOTC.	Andrew E. Steinmann	2019								
Creation and Blessing: A Guide to the Study and Exposition of Genesis	Allen P. Ross	1988								
Exodus. NAC	Douglas K. Stuart	2006								
Exodus. 2 vols.	Eugene Carpenter	2017								
Exodus. 2 vols.	John D. Currid	"2000, 2001"								
Exodus.	Victor P. Hamilton	2011								
Exodus. KEL	Duane A. Garrett	2014								
The Book of Leviticus. NICOT	Gordon J. Wenham	1979								
Leviticus. WBC	John E. Hartley	1992								
Leviticus. NAC	Mark Rooker	2000								
Leviticus. EPSC	John D. Currid	2004								
Holiness to the Lord: A Guide to the Exposition of the Book of Leviticus	Allen P. Ross	2002								
Numbers. NAC	R. Dennis Cole	2000								
The Book of Numbers. NICOT	Timothy R. Ashley	1993								
Numbers. TOTC	Gordon J. Wenham	2008								
Numbers. JPS Torah Commentary	Jacob A. Milgrom	1990								
Numbers. WEC	R. K. Harrison	1992								
The Book of Deuteronomy. NICOT	Peter C. Craigie	1976								
Deuteronomy. NAC	Eugene H. Merrill	1994								
Deuteronomy. AOTC	J. G. McConville	2002								
Deuteronomy. EPSC	John D. Currid	2006								
Deuteronomy. TOTC	J. A. Thompson	1974								
A History of Israel: From Conquest to Exile. Reprint ed.	John J. Davis and John C. Whitcomb	1989								
An Introduction to the Old Testament Historical Books	"David M. Howard, Jr."	2007								
Handbook on the Historical Books	Victor P. Hamilton	2001								
Giving the Sense: Understanding and Using Old Testament Historical Texts	"David M. Howard, Jr., and Michael A. Grisanti, eds."	2003								
Interpreting the Historical Books: An Exegetical Handbook	Robert B. Chisholm	2006								
Joshua. NAC	"David M. Howard, Jr."	1998								
Joshua. TOTC	Richard S. Hess	1996								
Joshua 1–12 & Joshua 13–24. 2nd ed.	Trent C. Butler	2014								
The Book of Joshua. NICOT	Marten H. Woudstra	1981								
"Judges, Ruth. NAC"	Daniel I. Block	1999								
Distressing Days of the Judges. Reprint ed.	Leon Wood	1998								
The Book of Judges. NICOT	Barry G. Webb	2012								
A Commentary on Judges and Ruth. KEL	Robert B. Chisholm	2013								
Judges/Ruth. Revised ed. NIVAC	K. Lawson Younger	2021								
The Book of Ruth. NICOT	"Robert L. Hubbard, Jr."	1988								
"Ruth, Esther. WBC"	Frederic Bush	1996								
"1, 2 Samuel. NAC"	Robert D. Bergen	1996								
The First Book of Samuel & The Second Book of Samuel. NICOT	David Toshio Tsumura	"2007, 2019"								
1 Samuel & 2 Samuel. CC	Andrew E. Steinmann	"2016, 2017"								
1 & 2 Samuel. NIVAC	Bill T. Arnold	2003								
I Samuel & II Samuel. AB	"P. Kyle McCarter, Jr."	"1980, 1984"								
"1, 2 Kings. NAC"	Paul R. House	1995								
First & Second Kings. EvBC	"Robert L. Hubbard, Jr."	2001								
2 Kings. WBC	T. R. Hobbs	1985								
1 and 2 Kings. TOTC	Donald J. Wiseman	2008								
1 Kings & 2 Kings. AB	Mordecai Cogan	"1988, 2001"								
1 Chronicles. 2 Chronicles. TOTC	Martin J. Selman	1994								
1 and 2 Chronicles. Christian Focus	Richard L. Pratt	1998								
1 & 2 Chronicles. NIVAC	Andrew E. Hill	2003								
A Commentary on 1 & 2 Chronicles. Kerux	Eugene H. Merrill	2015								
1 Chronicles & 2 Chronicles. WBC	"Roddy Braun, Raymond Dillard"	"1986, 1987"								
The Books of Ezra and Nehemiah. NICOT	F. Charles Fensham	1982								
Ezra and Nehemiah. TOTC	Derek Kidner	1979								
"Ezra, Nehemiah. WBC"	H. G. M. Williamson	1985								
"Ezra, Nehemiah, Esther. NAC"	Mervin Breneman	1993								
"Ezra, Nehemiah. ExBCrev"	Edwin Yamauchi	2010								
Esther. EEC	Anthony Tomasino	2016								
Esther. NIVAC	Karen H. Jobes	1999								
Esther. Revised ed.	"John C. Whitcomb, Jr."	2010								
"Ruth, Esther. WBC"	Frederic Bush	1996								
Handbook on the Wisdom Books and Psalms	Daniel J. Estes	2005								
An Introduction to the Old Testament Poetic Books. 2nd ed.	C. Hassell Bullock	1998								
Old Testament Wisdom Literature: A Theological Introduction	Craig G. Bartholomew & Ryan P. O’Dowd	2011								
Exploring the Old Testament: A Guide to Psalms & Wisdom Literature	Ernest C. Lucas	2003								
"Job 1–20, Job 21–37, & Job 38–41. WBC"	David J. A. Clines	"1989, 2005, 2011"								
Job. TOTC	Francis I. Andersen	1976								
Job. NAC	Robert Alden	1993								
The Book of Job. NICOT	John E. Hartley	1988								
"Job, Ecclesiastes & Song of Songs. Tyndale"	August Konkel	2006								
Psalms—Volume 1 (1–72); Volume 2 (73–150). NIVAC	"Gerald H. Wilson, W. Dennis Tucker, and Jamie A. Grant"	"2002, 2018"								
"Psalms 1–41, Psalms 42–89, Psalms 90–150"	John Goldingay	"2006, 2007, 2008"								
"A Commentary on the Psalms, Volume 1:1–41, Volume 2: 42–89, & Volume 3: 90–150. KEL"	Allen P. Ross	"2012, 2013, 2014"								
The Book of Psalms. NICOT	"Nancy de-Claissé-Walford, Rolf A. Jacobson, and Beth L. Tanner"	2014								
"Psalms 1–50, Psalms 51–100, & Psalms 101–150 (2nd ed.). WBC"	"Peter C. Craigie, Marvin E. Tate, and Leslie C. Allen"	"1983, 1990, 2002"								
"Psalms, Volume 1: Psalms 1–72; Volume 2: Psalms 73–150. TTCS"	C. Hassell Bullock	"2015, 2017"								
The Book of Proverbs. 2 vols. NICOT	Bruce K. Waltke	"2004, 2005"								
Proverbs. CC	Andrew E. Steinmann	2009								
Proverbs.	Tremper Longman III	2006								
Proverbs. Mentor	John A. Kitchen	2006								
Proverbs. SGBC	Ryan P. O'Dowd	2017								
Ecclesiastes	Craig G. Bartholomew	2009								
Ecclesiastes. CC	James Bollhagen	2011								
Ecclesiastes & the Song of Songs. AOTC	Daniel C. Fredericks & Daniel J. Estes	2010								
Ecclesiastes. AB	Choon-Leong Seow	1997								
Qoheleth. 2nd ed.	Graham Ogden	2007								
Song of Songs	Richard S. Hess	2005								
"Proverbs, Ecclesiastes, Song of Songs. NAC"	Duane A. Garrett	1993								
Song of Songs. NICOT	Tremper Longman III	2001								
"Ecclesiastes, Song of Songs. NIVAC"	Iain W. Provan	2001								
An Introduction to the OT Prophetic Books. 2nd ed.	C. Hassell Bullock	2007								
Handbook on the Prophets	Robert B. Chisholm	2002								
The Message of the Prophets	J. Daniel Hays	2010								
An Introduction to the Old Testament Prophets	Hobart E. Freeman	1981								
The Prophets of Israel	Leon J. Wood	1979								
Isaiah. 2 vols. Mentor	Paul R. House	2019								
The Book of Isaiah. 3 vols. Reprint ed.	Edward J. Young	1965?72								
The Prophecy of Isaiah	J. Alec Motyer	1993								
A Commentary on Isaiah	Peter A. Steveson	2003								
Isaiah. ExBCrev	Geoffrey Grogan	2008								
"The Book of Isaiah, 2 vols. NICOT"	John Oswalt	"1986, 1987"								
The Book of Jeremiah. NICOT	J. A. Thompson	1980								
"Jeremiah, Lamentations. NAC"	"F. B. Huey, Jr."	1993								
Jeremiah 1?25. WBC	"Peter C. Craigie, et al."	1991								
Jeremiah 26?52. WBC	"Gerald Keown, et al."	1995								
Jeremiah. ExBCrev	Michael L. Brown	2010								
Jeremiah. ExBC	Charles Feinberg	1986								
Jeremiah. 2 vols. A Mentor Commentary	John L. Mackay	2004								
"Song of Songs, Lamentations. WBC"	Duane Garrett and Paul House	2004								
Jeremiah & Lamentations. BCBC	Elmer Martens	2005								
Jeremiah and Lamentations. Kerux	Duane Garrett and Calvin Pearson	2022								
Lamentations. ExBCrev	Paul W. Ferris Jr.	2010								
Jeremiah and Lamentations. TTCS	J. Daniel Hays	2016								
The Book of Lamentations. NICOT	John Goldingay	2022								
The Book of Ezekiel. 2 vols. NICOT	Daniel Block	"1997, 1998"								
Ezekiel. NAC	Lamar Cooper	1994								
Ezekiel. ExBCrev	Ralph A. Alexander	2010								
The Prophecy of Ezekiel	Charles Feinberg	1969								
Ezekiel. CBC	David L. Thompson	2010								
Ezekiel. 2 vols. WBC	Leslie C. Allen	"1990, 1994"								
Daniel. EEC	J. Paul Tanner	2020								
Daniel. NAC	Stephen Miller	1994								
Daniel. ExBC	John F. Walvoord (Rev. Philip E. Rawley and Charles H. Dyer)	2012								
Daniel. EvBC	John C. Whitcomb	1985								
A Commentary on the Book of the Twelve. KEL	Michael B. Shepherd	2018								
Interpreting the Minor Prophets	"Robert B. Chisholm, Jr."	1990								
Minor Prophets: Hosea–Malachi. CBC	Richard D. Patterson and Andrew E. Hill	2008								
The Minor Prophets. 3 vols.	Thomas E. McComiskey	1992–1998								
The Minor Prophets.	Charles Feinberg	1976								
"Hosea, Joel. NAC"	Duane A. Garrett	1997								
Hosea. AOTC	Joshua N. Moon	2018								
Hosea: An Exegetical Commentary	Richard D. Patterson	2013								
Hosea. ExBC	Leon Wood	1985								
Hosea. ExBCrev	M. Daniel Carroll-Rodas	2008								
The Book of Hosea. NICOT	J. Andrew Dearman	2010								
"Joel, Amos, Obadiah. Reprint of 1990 Moody ed."	Thomas J. Finley	2004								
Joel & Obadiah. Mentor	Irvin A. Busenitz	2003								
Joel. ExBCrev	Richard D. Patterson	2008								
Joel and Amos. TOTC	David Allan Hubbard	2009								
"Joel, Obadiah, Malachi. NIVAC"	David W. Baker	2006								
Hosea-Jonah. WBC	Douglas Stuart	1984								
"Amos, Jonah, & Micah. EEC"	JoAnna M. Hoyt	2019								
The Book of Amos. NICOT	M. Daniel Carroll-Rodas	2020								
"Amos, Obadiah, Jonah. NAC"	Billy K. Smith and Frank S. Page	1995								
Minor Prophets: Hosea–Malachi. CBC	Richard D. Patterson and Andrew E. Hill	2008								
Amos. ExBCrev	Thomas E. McComiskey and Tremper Longman III	2008								
Obadiah. ExBCrev	Carl E. Armerding	2008								
"Amos, Obadiah, Jonah. NAC"	Billy Smith and Frank Page	1995								
Joel & Obadiah. Mentor	Irvin A. Busenitz	2003								
"Obadiah, Jonah, Micah. TOTC"	Daniel C. Timmer	2021								
Hosea-Jonah. WBC	Douglas Stuart	1984								
"Amos, Jonah, & Micah. EEC"	JoAnna M. Hoyt	2019								
Jonah. ExBCrev	John Walton	2008								
"Obadiah, Jonah, Micah. TOTC"	Daniel C. Timmer	2021								
"Obadiah, Jonah, Micah. TOTC"	"David Baker, Desmond Alexander, and Bruce Waltke"	1988								
Hosea-Jonah. WBC	Douglas Stuart	1984								
"Micah, Nahum, Habakkuk, Zephaniah. NAC"	Kenneth Barker and Waylon Bailey	1998								
A Commentary on Micah. Baker	Bruce Waltke	2007								
Micah. ExBCrev	Thomas E. McComiskey and Tremper Longman III	2008								
"Obadiah, Jonah, Micah. TOTC"	"David Baker, Desmond Alexander, and Bruce Waltke"	1988								
"Nahum, Habakkuk, Zephaniah. Reprint of 1991 Moody ed."	Richard Patterson	2013								
"Micah, Nahum, Habakkuk, Zephaniah. NAC"	Kenneth Barker and Waylon Bailey	1998								
Nahum. ExBCrev	Carl Armerding	2008								
"The Books of Nahum, Habakkuk, and Zephaniah. NICOT"	O. Palmer Robertson	1990								
"The Books of Nahum, Habakkuk, Zephaniah. NICOT"	Thomas Renz	2021								
"Nahum, Habakkuk, and Zephaniah. TOTC"	David Baker	1988								
"Haggai, Zechariah, Malachi. Reprint of 1994 Moody ed."	Eugene Merrill	2004								
Haggai and Malachi. NAC	Richard Taylor and E. Ray Clendenen	2004								
"Haggai, Zechariah, and Malachi. TOTC"	Andrew E. Hill	2012								
The Books of Haggai and Malachi. ECC	Pieter Verhoef	2018								
"Haggai, Zechariah, and Malachi. TOTC"	Joyce G. Baldwin	1981								
Zechariah. NAC	George L. Klein	2008								
"Haggai, Zechariah, and Malachi. TOTC"	Andrew E. Hill	2012								
Zechariah. ExBC	Kenneth L. Barker	1985								
The Book of Zechariah. NICOT	Mark J. Boda	2016								
Zechariah. HCOT	Al Wolters	2014								
Malachi Then and Now: An Expository Commentary	Allen P. Ross	2016								
The Gospel According to Matthew. ExBCrev	D. A. Carson	2010								
Matthew. BECNT	David L. Turner	2008								
Matthew. ZECNT	Grant R. Osborne	2010								
Matthew. NICNT	R. T. France	2007								
Matthew. NAC	Craig L. Blomberg	1992								
Mark. ZECNT	Mark L. Strauss	2014								
The Gospel According to Mark. PNTC	James R. Edwards	2002								
Mark. BECNT	Robert H. Stein	2008								
The Gospel of Mark. NIGTC	R. T. France	2002								
Mark. TNTC	Eckhard J. Schnabel	2017								
Luke. 2 vols. BECNT	Darrell L. Bock	"1994, 1996"								
The Gospel According to Luke. PNTC	James R. Edwards	2015								
Luke. NAC	Robert H. Stein	1992								
The Gospel of Luke. NIGTC	I. Howard Marshall	1978								
Luke: Verse by Verse.	Grant Osborne	2018								
The Gospel According to John. PNTC	D. A. Carson	1991								
John. ZECNT	Edward W. Klink III	2017								
The Gospel According to John. 2nd ed. NICNT	Leon Morris	1995								
The Gospel of John. 2 vols.	Craig Keener	2003								
John. Rev. ed. TNTC	Colin G. Kruse	2017								
Acts. BECNT	Darrell L. Bock	2007								
Acts. ExBCrev	Richard N. Longenecker	2007								
Acts. ZECNT	Eckhard J. Schnabel	2012								
The Acts of the Apostles. PNTC	David G. Peterson	2009								
Jerusalem to Rome: Studies in the Book of Acts	"Homer A. Kent, Jr."	1972								
Romans. 2nd ed. NICNT	Douglas J. Moo	2018								
Romans. 2nd ed. BECNT	Thomas R. Schreiner	2018								
The Epistle to the Romans. PNTC	Leon Morris	1988								
Paul’s Letter to the Romans. PNTC	Colin G. Kruse	2012								
The Epistle to the Romans. NIGTC	Richard Longenecker	2016								
The First Epistle to the Corinthians. 2nd ed. NICNT	Gordon D. Fee	2014								
1 Corinthians. BECNT	David E. Garland	2003								
The First Letter to the Corinthians. PNTC	Roy E. Ciampa and Brian S. Rosner	2010								
1 Corinthians. ZECNT	Paul D. Gardner	2018								
The First Epistle to the Corinthians. NIGTC	Anthony C. Thiselton	2000								
2 Corinthians. IVPNTC	Linda L. Belleville	1996								
The Second Epistle to the Corinthians. NIGTC	Murray J. Harris	2005								
2 Corinthians. BECNT	George H. Guthrie	2015								
2 Corinthians. 2nd ed. WBC	Ralph P. Martin	2014								
The Second Letter to the Corinthians. PNTC	Mark A. Seifrid	2014								
Galatians. BECNT	Douglas J. Moo	2013								
Galatians. ZECNT	Thomas R. Schreiner	2010								
Galatians. NAC	Timothy George	1994								
The Epistle to the Galatians. NICNT	Ronald Y. K. Fung	1988								
The Epistle to the Galatians. NIGTC	F. F. Bruce	1982								
Ephesians.	Harold W. Hoehner	2002								
Ephesians. EEC	S. M. Baugh	2016								
Ephesians. BECNT	Frank Thielman	2010								
The Letter to the Ephesians. NICNT	Lynn H. Cohick	2020								
Ephesians. WBC	Andrew T. Lincoln	1990								
The Gift of Being Yourself	David Benner	2004								
The Motive	Patrick Lencioni	2020								
The Act of Marriage	Tim and Beverly LaHaye	1976								
Developing the Leader Within You	John Maxwell	1993								
Hidden Potential	Adam Grant	2023								
Integrity	Henry Cloud	2006								
The Celebration of Discipline	Richard Foster	1978								
UnOffendable	Ryan Leak	2021								
Changes That Heal	Henry Cloud	1992								
The Search For Significance: Seeing Your True Worth Through God's Eyes	Robert McGee	1987								
The Blessing: Giving the Gift of Unconditional Love and Acceptance	Gary Smalley	1986								
3 Big Questions that Change Every Teenager	Kara Powell and Brad M. Griffin	2021								
3 Big Questions that Shape Your Future	Kara Powell and Kristel Acevedo	2021								
The Seven Primal Questions	Mike Foster	2020								
Soundtracks	Jon Acuff	2021								
Your New Playlist	"Jon Acuff, L.E. Acuff, McRae Acuff"	2022								
Beyond the Spiral	Benjamin Windle	2023								
